GENEID	C9088	C9097	C9098	C9099	C9100	C9103	C9104	C9109	C9118	C9119	C9121	C9089	C9091	C9092	C9093	C9101	C9116	C9117	C9094	C9112	C9114	C9167	C9095	C9096	C9102	C9106	C9108	C9110	C9120	C9166	C9170	C9171	C9105	C9113	C9168	C9169	C9107	C9165	C9172	H9122	H9123	H9124	H9125	H9126	H9127	H9128	H9129	H9130	H9131
ENSG00000227232.5	15	43	31	46	37	6	25	24	28	81	1	4	17	31	49	19	4	10	92	22	52	112	5	28	10	3	21	25	12	4	36	140	28	47	16	26	2	8	0	44	23	97	25	42	9	14	14	124	50
ENSG00000278267.1	1	4	0	0	10	0	4	0	3	0	1	1	2	2	4	6	0	0	8	0	0	66	3	3	0	0	0	9	0	0	0	0	6	0	0	0	0	8	0	6	4	11	16	10	3	12	13	23	13
ENSG00000238009.6	17	44	13	43	105	67	26	8	22	25	7	68	108	157	106	83	11	42	69	2	23	16	53	14	9	36	28	80	24	82	126	654	33	41	68	54	8	34	62	13	9	23	12	12	4	19	40	94	35
ENSG00000268903.1	50	232	164	126	340	115	74	11	74	68	32	215	589	848	555	633	69	387	209	44	54	28	143	36	64	122	66	247	113	268	192	184	280	657	126	60	21	114	224	85	25	120	70	95	29	41	50	428	158
ENSG00000269981.1	12	146	73	58	158	49	18	4	30	32	0	84	353	488	400	330	124	582	85	45	17	34	41	9	33	44	33	221	144	140	128	392	126	310	42	66	3	86	282	15	9	47	20	22	12	13	6	138	28
ENSG00000239906.1	4	4	1	0	4	0	6	0	0	0	0	13	20	4	31	11	26	6	10	1	0	0	10	0	2	5	1	9	7	10	32	364	0	17	8	30	0	16	0	4	0	6	0	4	1	0	2	7	0
ENSG00000241860.7	58	344	165	177	245	161	198	40	179	62	69	82	421	484	447	269	146	114	421	26	116	240	65	75	114	101	178	296	181	262	306	978	128	231	160	204	10	80	388	111	52	194	62	186	108	79	132	551	345
ENSG00000222623.1	0	10	1	3	5	3	0	1	0	0	0	5	4	4	1	8	0	0	8	0	0	10	4	0	0	7	1	0	1	0	6	0	0	0	8	0	0	0	0	6	0	0	0	1	0	0	0	4	1
ENSG00000279928.2	3	11	0	0	0	0	5	0	0	9	0	0	1	1	4	5	0	0	27	0	0	0	0	1	0	0	3	3	0	0	0	0	0	0	12	0	0	0	0	2	6	1	3	2	6	8	0	7	5
ENSG00000279457.4	12	46	49	52	51	4	22	30	22	102	4	2	37	31	63	39	6	11	80	31	42	70	25	18	8	15	25	66	17	54	64	172	25	33	44	124	5	48	152	26	44	60	53	72	38	36	26	190	62
ENSG00000273874.1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	1	0	0	8	0	0	0	0	1	4
ENSG00000228463.10	45	55	39	190	207	49	25	22	127	17	10	91	83	48	20	72	30	21	97	0	69	58	177	13	10	15	23	80	6	114	18	28	7	19	38	40	0	14	42	30	51	39	33	37	28	30	8	62	18
ENSG00000286448.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	3	0
ENSG00000237094.12	102	506	253	414	847	362	315	66	262	309	65	628	964	708	782	1075	357	512	654	119	133	236	592	120	236	354	439	1023	312	956	744	1840	186	298	726	558	42	234	1494	214	139	365	195	383	251	164	264	889	655
ENSG00000278757.1	4	32	0	11	0	35	0	4	0	0	1	0	29	0	34	0	4	5	0	0	0	0	1	0	11	0	21	40	0	2	0	320	0	0	0	0	0	32	0	0	11	22	0	21	14	0	0	0	23
