GENEID	SYMBOL	GENETYPE
ENSG00000227232.5	WASH7P	unprocessed_pseudogene
ENSG00000278267.1	MIR6859-1	miRNA
ENSG00000238009.6	AL627309.1	lncRNA
ENSG00000268903.1	AL627309.6	processed_pseudogene
ENSG00000269981.1	AL627309.7	processed_pseudogene
ENSG00000239906.1	AL627309.2	lncRNA
ENSG00000241860.7	AL627309.5	lncRNA
ENSG00000222623.1	RNU6-1100P	snRNA
ENSG00000279928.2	FO538757.1	unprocessed_pseudogene
ENSG00000279457.4	WASH9P	unprocessed_pseudogene
ENSG00000273874.1	MIR6859-2	miRNA
ENSG00000228463.10	AP006222.1	transcribed_processed_pseudogene
ENSG00000286448.1	AP006222.2	lncRNA
ENSG00000237094.12	AL732372.2	transcribed_unprocessed_pseudogene
ENSG00000278757.1	FO681485.1	snRNA
ENSG00000230021.10	AL669831.3	transcribed_processed_pseudogene
ENSG00000225972.1	MTND1P23	unprocessed_pseudogene
ENSG00000225630.1	MTND2P28	unprocessed_pseudogene
ENSG00000237973.1	MTCO1P12	unprocessed_pseudogene
ENSG00000278791.1	AC114498.2	miRNA
ENSG00000229344.1	MTCO2P12	unprocessed_pseudogene
ENSG00000240409.1	MTATP8P1	unprocessed_pseudogene
ENSG00000248527.1	MTATP6P1	unprocessed_pseudogene
ENSG00000198744.5	MTCO3P12	unprocessed_pseudogene
ENSG00000228327.3	AL669831.1	transcribed_unprocessed_pseudogene
ENSG00000223181.1	RNU6-1199P	snRNA
ENSG00000237491.10	LINC01409	lncRNA
ENSG00000230092.7	AL669831.4	transcribed_unprocessed_pseudogene
ENSG00000228794.10	LINC01128	lncRNA
ENSG00000225880.5	LINC00115	lncRNA
ENSG00000288531.1	AL669831.7	lncRNA
ENSG00000234711.1	TUBB8P11	unprocessed_pseudogene
ENSG00000230699.2	AL645608.2	lncRNA
ENSG00000187634.12	SAMD11	protein_coding
ENSG00000188976.11	NOC2L	protein_coding
ENSG00000187961.14	KLHL17	protein_coding
ENSG00000187583.11	PLEKHN1	protein_coding
ENSG00000187642.9	PERM1	protein_coding
ENSG00000272512.1	AL645608.7	lncRNA
ENSG00000188290.10	HES4	protein_coding
ENSG00000187608.10	ISG15	protein_coding
ENSG00000224969.1	AL645608.1	lncRNA
ENSG00000188157.15	AGRN	protein_coding
ENSG00000217801.10	AL390719.1	transcribed_unprocessed_pseudogene
ENSG00000237330.3	RNF223	protein_coding
ENSG00000131591.17	C1orf159	protein_coding
ENSG00000223823.1	LINC01342	lncRNA
ENSG00000205231.1	TTLL10-AS1	lncRNA
ENSG00000162571.14	TTLL10	protein_coding
ENSG00000186891.14	TNFRSF18	protein_coding
ENSG00000186827.11	TNFRSF4	protein_coding
ENSG00000078808.17	SDF4	protein_coding
ENSG00000176022.7	B3GALT6	protein_coding
ENSG00000184163.3	C1QTNF12	protein_coding
ENSG00000260179.1	AL162741.1	lncRNA
ENSG00000160087.20	UBE2J2	protein_coding
ENSG00000230415.1	LINC01786	lncRNA
ENSG00000162572.21	SCNN1D	protein_coding
ENSG00000131584.19	ACAP3	protein_coding
ENSG00000169972.12	PUSL1	protein_coding
ENSG00000127054.20	INTS11	protein_coding
ENSG00000240731.1	AL139287.1	lncRNA
ENSG00000224051.7	CPTP	protein_coding
ENSG00000169962.5	TAS1R3	protein_coding
ENSG00000107404.20	DVL1	protein_coding
ENSG00000162576.16	MXRA8	protein_coding
